fclass,Count
alpine_hut,1
arts_centre,9
artwork,95
atm,267
attraction,28
bakery,1.159
bank,625
bar,527
beauty_shop,335
bench,394
beverages,287
bicycle_rental,21
bicycle_shop,201
biergarten,7
bookshop,74
butcher,398
cafe,1.117
camera_surveillance,70
camp_site,2
car_dealership,81
car_rental,4
car_wash,86
caravan_site,1
castle,1
chalet,2
chemist,203
cinema,38
clinic,130
clothes,1.011
college,37
comms_tower,30
community_centre,61
computer_shop,71
convenience,1.131
courthouse,16
dentist,324
department_store,85
doctors,64
dog_park,36
doityourself,677
drinking_water,10
embassy,41
fast_food,1.094
fire_station,18
florist,142
food_court,16
fountain,27
furniture_shop,303
garden_centre,4
general,47
gift_shop,53
greengrocer,307
guesthouse,20
hairdresser,939
hospital,52
hostel,76
hotel,191
hunting_stand,1
jeweller,58
kindergarten,88
kiosk,20
laundry,377
library,42
mall,19
market_place,57
memorial,60
mobile_phone_shop,169
monument,11
motel,18
museum,28
newsagent,1
nightclub,49
nursing_home,1
optician,204
outdoor_shop,20
park,25
pharmacy,1.137
picnic_site,6
pitch,14
playground,187
police,51
post_box,48
post_office,227
prison,1
pub,89
recycling,35
recycling_clothes,1
recycling_glass,27
restaurant,3.371
ruins,5
school,268
shelter,32
shoe_shop,458
sports_centre,39
sports_shop,46
stadium,1
stationery,516
supermarket,1.041
swimming_pool,7
telephone,51
theatre,31
toilet,68
tourist_info,71
tower,11
town_hall,26
toy_shop,37
travel_agent,408
university,31
vending_any,2
vending_machine,6
vending_parking,2
veterinary,155
video_shop,13
viewpoint,35
waste_basket,355
water_tower,5
water_well,4
water_works,1
wayside_shrine,3
zoo,1
